,Episode,Epsilon,Reward,Mean_Reward,Time
172,172.0,0.4222502236424958,-146.9469910424354,-186.49613833473285,427.0
173,173.0,0.42013897252428334,-216.63677301564385,-188.22085041270773,498.0
174,174.0,0.4180382776616619,5.09411480731292,-185.8438204929713,259.0
175,175.0,0.4159480862733536,-60.1753590874722,-186.36434888378852,500.0
176,176.0,0.41386834584198684,-100.56799196204322,-186.1732026072761,203.0
177,177.0,0.4117990041127769,17.379574517715277,-182.93882552267993,500.0
178,178.0,0.40974000909221303,-35.89988698855007,-181.54209489340286,500.0
179,179.0,0.40769130904675194,-267.88965570929463,-181.63842620415878,472.0
180,180.0,0.40565285250151817,-55.50565448960937,-179.45843959158321,158.0
181,181.0,0.4036245882390106,-141.15390346032592,-179.2925623786322,267.0
182,182.0,0.4016064652978155,-100.88935037917571,-178.09689966395175,361.0
183,183.0,0.3995984329713264,-83.11572132734368,-176.90696015307302,500.0
184,184.0,0.3976004408064698,-54.67352217063898,-176.25489579972518,184.0
185,185.0,0.39561243860243744,-165.43971309164556,-175.59534099123502,266.0
186,186.0,0.3936343764094253,-32.145424713145,-173.17508611736363,500.0
187,187.0,0.39166620452737816,-33.00949108057997,-170.40590180265173,500.0
188,188.0,0.3897078735047413,-35.61628036105727,-169.3589377477425,500.0
189,189.0,0.3877593341372176,-101.265916200739,-167.90336911823226,500.0
190,190.0,0.3858205374665315,20.113059238092557,-164.95725024332313,500.0
191,191.0,0.38389143477919885,-161.70253915091268,-164.5972995038688,226.0
192,192.0,0.3819719776053028,-50.23271248856166,-161.26179588446706,500.0
193,193.0,0.3800621177172763,-65.44144238204207,-161.63181430164224,500.0
194,194.0,0.37816180712868996,-61.7032509593308,-160.3844320046533,210.0
195,195.0,0.37627099809304654,-59.89882803471744,-160.26869995664995,500.0
196,196.0,0.3743896431025813,-115.35528807955487,-159.66791977261465,99.0
197,197.0,0.37251769488706843,-44.84932557689598,-159.26758275440207,500.0
198,198.0,0.3706551064126331,-5.057579749325772,-158.78663692449211,500.0
199,199.0,0.36880183088056995,57.03349732348305,-156.2244713054084,500.0
200,200.0,0.3669578217261671,-58.21812203081984,-154.8500259547079,291.0
201,201.0,0.36512303261753626,-60.069726727739706,-152.67596488203947,500.0
202,202.0,0.3632974174544486,-20.61895953542823,-149.51606336270345,500.0
203,203.0,0.3614809303671764,-47.165432540168325,-149.07102719469583,390.0
204,204.0,0.3596735257153405,0.8304230084039574,-148.1689754253169,500.0
205,205.0,0.3578751580867638,-110.6571564638166,-147.4517162788573,493.0
206,206.0,0.35608578229633,-24.596220117471006,-146.35633905810616,391.0
207,207.0,0.3543053533848483,-47.810223014409004,-143.91887764559294,275.0
208,208.0,0.35253382661792404,-146.4072322917107,-143.9644116579162,420.0
209,209.0,0.3507711574848344,-102.08493966972799,-142.86646623629989,140.0
210,210.0,0.34901730169741024,-32.44315701752834,-138.9885644550957,500.0
211,211.0,0.3472722151889232,-65.7676269092617,-137.91782845940654,376.0
212,212.0,0.3455358541129786,9.129533198168978,-135.31304714853135,500.0
213,213.0,0.3438081748424137,-81.9378809534845,-134.6796125971076,120.0
214,214.0,0.3420891339682016,-113.56510852672903,-133.79919252311183,283.0
215,215.0,0.3403786882983606,-297.4936623303888,-135.74246147094033,246.0
216,216.0,0.3386767948568688,-65.35722054945914,-135.02162036562382,500.0
217,217.0,0.33698341088258443,-12.242418448442447,-133.9671063087281,500.0
218,218.0,0.3352984938281715,-19.98830092031841,-132.83849707318532,291.0
219,219.0,0.33362200135903064,-36.95074043741821,-130.94103379812793,500.0
220,220.0,0.33195389135223546,-26.40313869394258,-128.75227432678167,351.0
221,221.0,0.3302941218954743,-94.81585748189687,-128.58940989223305,152.0
222,222.0,0.32864265128599696,-110.42951450341633,-127.36521242538267,305.0
223,223.0,0.326999438029567,-15.353901972641737,-125.75508023200868,500.0
224,224.0,0.3253644408394192,-115.03003802504209,-124.3899416741873,170.0
225,225.0,0.3237376186352221,-5.040122163392495,-122.95503484736757,500.0
226,226.0,0.322118930542046,-92.52051703241855,-121.7859522829972,441.0
227,227.0,0.32050833588933575,-12.168106654650927,-119.90040920775857,500.0
228,228.0,0.31890579420988907,-38.654749246838236,-118.02258266652026,388.0
229,229.0,0.3173112652388396,-72.40839591387109,-117.30474084944095,164.0
230,230.0,0.3157247089126454,-141.2363132428177,-116.72463432337702,155.0
231,231.0,0.3141460853680822,-39.69760567777375,-114.01729108250085,500.0
232,232.0,0.3125753549412418,-39.143328996442435,-113.34246459912538,388.0
233,233.0,0.31101247816653554,-141.26997621891473,-113.298919731553,392.0
234,234.0,0.30945741577570285,-70.825312415815,-111.58308921770836,315.0
235,235.0,0.3079101286968243,-24.212721033830405,-109.96900682499948,332.0
236,236.0,0.3063705780533402,2.989240067564448,-107.0569227947042,500.0
237,237.0,0.30483872516307353,9.445893225356837,-104.01383898215752,500.0
238,238.0,0.3033145315372582,-59.56096688824759,-102.14541757709333,500.0
239,239.0,0.3017979588795719,-53.14547707941635,-101.02036261334007,340.0
240,240.0,0.30028896908517405,26.19680607103905,-98.68594298035205,500.0
241,241.0,0.2987875242397482,-33.7072074264767,-98.62461514277916,500.0
242,242.0,0.29729358661854943,-39.739946093875936,-97.64832852676376,500.0
243,243.0,0.29580711868545667,6.364715573786545,-95.69561979020658,500.0
244,244.0,0.2943280830920294,-243.17077652071293,-96.65052842691337,268.0
245,245.0,0.29285644267656924,49.4955868620154,-94.02380317434354,500.0
246,246.0,0.2913921604631864,85.52279726659147,-90.95158261367352,500.0
247,247.0,0.28993519966087045,-259.9487136586214,-92.46216234307002,388.0
248,248.0,0.2884855236625661,24.951314338867515,-90.67268247971703,500.0
249,249.0,0.28704309604425327,-64.27301011917932,-89.49074413071247,452.0
250,250.0,0.285607880564032,-7.450528097517944,-88.05257810666001,500.0
251,251.0,0.28417984116121187,21.60903564046229,-87.21904540618705,500.0
252,252.0,0.2827589419554058,-1.651807548021502,-86.1099615657212,500.0
253,253.0,0.28134514724562876,-200.74630847647563,-86.94100600902973,300.0
254,254.0,0.2799384215094006,-105.60934047768274,-85.70403485514568,332.0
255,255.0,0.27853872940185365,-33.0213858422325,-83.48587369412839,500.0
256,256.0,0.27714603575484437,-39.46189480948537,-81.79384398546277,500.0
257,257.0,0.2757603055760701,-44.23910082276265,-81.72177449706112,380.0
258,258.0,0.2743815040481898,-93.63605797887519,-80.15484214430069,263.0
259,259.0,0.2730095965279488,-2.7277835386969347,-77.82809880849523,500.0
260,260.0,0.27164454854530906,67.6919334841202,-75.14906669080479,500.0
261,261.0,0.2702863258025825,29.601288095191304,-73.2344533747919,500.0
262,262.0,0.2689348941735696,-5.239319005871953,-72.4733455156438,500.0
263,263.0,0.26759021970270175,21.440529618655074,-69.45530716333556,500.0
264,264.0,0.2662522686041882,-23.999561827672814,-68.40350951946203,500.0
265,265.0,0.2649210072611673,122.53311728342946,-66.19437581158473,500.0
266,266.0,0.26359640222486147,-18.668126076063263,-63.64573129290908,500.0
267,267.0,0.26227842021373715,37.66933491115944,-62.408545190057104,500.0
